date,name_cz,name_en,type,is_holiday
2025-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,public_holiday,1
2025-04-18,Velký pátek,Good Friday,public_holiday,1
2025-04-21,Velikonoční pondělí,Easter Monday,public_holiday,1
2025-05-01,Svátek práce,Labour Day,public_holiday,1
2025-05-08,Den vítězství,Liberation Day,public_holiday,1
2025-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,public_holiday,1
2025-07-06,Den upálení mistra Jana Husa,Jan Hus Day,public_holiday,1
2025-09-28,Den české státnosti,St. Wenceslas Day,public_holiday,1
2025-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,public_holiday,1
2025-10-29,Podzimní prázdniny,Podzimní prázdniny,school_break,1
2025-10-30,Podzimní prázdniny,Podzimní prázdniny,school_break,1
2025-10-31,Podzimní prázdniny,Podzimní prázdniny,school_break,1
2025-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,public_holiday,1
2025-12-22,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-23,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-24,Štědrý den,Christmas Eve,public_holiday,1
2025-12-24,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-25,1. svátek vánoční,Christmas Day,public_holiday,1
2025-12-25,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-26,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-26,2. svátek vánoční,St. Stephen's Day,public_holiday,1
2025-12-27,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-28,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-29,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-30,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2025-12-31,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2026-01-01,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2026-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,public_holiday,1
2026-01-02,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2026-01-03,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2026-01-04,Vánoční prázdniny,Vánoční prázdniny,school_break,1
2026-01-30,Pololetní prázdniny,Pololetní prázdniny,school_break,1
2026-02-16,Jarní prázdniny,Jarní prázdniny,school_break,1
2026-02-17,Jarní prázdniny,Jarní prázdniny,school_break,1
2026-02-18,Jarní prázdniny,Jarní prázdniny,school_break,1
2026-02-19,Jarní prázdniny,Jarní prázdniny,school_break,1
2026-02-20,Jarní prázdniny,Jarní prázdniny,school_break,1
2026-02-21,Jarní prázdniny,Jarní prázdniny,school_break,1
2026-02-22,Jarní prázdniny,Jarní prázdniny,school_break,1
2026-04-02,Velikonoční prázdniny,Velikonoční prázdniny,school_break,1
2026-04-03,Velký pátek,Good Friday,public_holiday,1
2026-04-03,Velikonoční prázdniny,Velikonoční prázdniny,school_break,1
2026-04-04,Velikonoční prázdniny,Velikonoční prázdniny,school_break,1
2026-04-05,Velikonoční prázdniny,Velikonoční prázdniny,school_break,1
2026-04-06,Velikonoční pondělí,Easter Monday,public_holiday,1
2026-05-01,Svátek práce,Labour Day,public_holiday,1
2026-05-08,Den vítězství,Liberation Day,public_holiday,1
2026-06-27,Letní prázdniny,Letní prázdniny,school_break,1
2026-06-28,Letní prázdniny,Letní prázdniny,school_break,1
2026-06-29,Letní prázdniny,Letní prázdniny,school_break,1
2026-06-30,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-01,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-02,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-03,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-04,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-05,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,public_holiday,1
2026-07-06,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-06,Den upálení mistra Jana Husa,Jan Hus Day,public_holiday,1
2026-07-07,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-08,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-09,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-10,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-11,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-12,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-13,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-14,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-15,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-16,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-17,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-18,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-19,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-20,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-21,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-22,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-23,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-24,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-25,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-26,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-27,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-28,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-29,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-30,Letní prázdniny,Letní prázdniny,school_break,1
2026-07-31,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-01,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-02,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-03,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-04,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-05,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-06,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-07,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-08,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-09,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-10,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-11,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-12,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-13,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-14,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-15,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-16,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-17,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-18,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-19,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-20,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-21,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-22,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-23,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-24,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-25,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-26,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-27,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-28,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-29,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-30,Letní prázdniny,Letní prázdniny,school_break,1
2026-08-31,Letní prázdniny,Letní prázdniny,school_break,1
2026-09-01,Letní prázdniny,Letní prázdniny,school_break,1
2026-09-28,Den české státnosti,St. Wenceslas Day,public_holiday,1
2026-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,public_holiday,1
2026-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,public_holiday,1
2026-12-24,Štědrý den,Christmas Eve,public_holiday,1
2026-12-25,1. svátek vánoční,Christmas Day,public_holiday,1
2026-12-26,2. svátek vánoční,St. Stephen's Day,public_holiday,1
